wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
2900,341.66666666666663,12.083333333333334,2,347.69298503454763,3.8000000000000025,10,16,25,,8,22,20,,,,14.874870888142018,126.3871480684625,14.364087419912243,117.06057939014906,,
2910,342.5,12.125,2,363.0043136656581,4.100000000000003,10,16,25,,8,22,20,,,,14.835676631610903,125.27046881875204,15.494543200387948,122.86917059395797,,
2920,343.33333333333337,12.166666666666666,2,337.5886449872255,3.8000000000000025,10,16,25,,6,16,25,,,,14.882661446927123,126.43249238811487,13.145775308469235,124.77795924747724,,
2930,344.16666666666663,12.208333333333334,2,366.7404456985802,3.7000000000000024,10,16,25,,8,20,15,,,,14.900971515295513,126.87403621135778,12.29232376595856,111.4690446211396,,
2940,345.0,12.25,2,359.55933412098284,3.0000000000000018,10,20,25,,8,18,20,,,,10.814919710373248,103.09428150454465,16.46412622331235,125.3680301567007,,
2950,345.83333333333337,12.291666666666666,2,354.88472521410915,3.0000000000000018,10,18,25,,10,22,15,,,,13.274376624265274,115.2284576336428,16.323239018494714,119.89666578616286,,
2960,346.66666666666663,12.333333333333334,2,330.40350000000024,3.7000000000000024,8,12,25,,8,18,15,,,,11.271124188573884,128.80246113840596,15.907397818737444,125.04706176225531,,
2970,347.5,12.375,2,328.7669943884894,3.300000000000002,10,18,25,,10,22,15,,,,13.238025640014722,113.74249356622768,17.931537300235636,127.09216946395827,,
2980,348.33333333333337,12.416666666666666,2,365.6234118715276,3.400000000000002,8,14,25,,10,24,15,,,,9.58724636804552,110.40143261522039,16.520948952240037,117.87321458590327,,
