wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
2200,283.33333333333337,9.166666666666666,2,304.91689411764685,3.300000000000002,10,16,25,,10,24,15,,,,14.64750850741384,126.92822029482564,15.823498351742241,116.0451520348487,,
2210,284.16666666666663,9.208333333333334,2,292.7342750444457,3.8000000000000025,8,12,25,,10,28,20,,,,11.019316651729268,126.4906902912182,20.792804146284112,127.50110576203939,,
2220,285.0,9.25,2,294.2409196675899,3.0000000000000018,10,16,20,,8,16,15,,,,12.87286352494961,118.62312652322223,14.56227934349593,125.1840842437506,,
2230,285.83333333333337,9.291666666666666,2,305.19461304773733,3.400000000000002,8,12,25,,10,24,15,,,,11.091429681742612,128.42981943514434,16.304595728218004,118.22023387509778,,
2240,286.66666666666663,9.333333333333334,2,308.3509656838868,2.6000000000000014,10,16,20,,6,10,15,,,,12.97844757735889,121.36809023239684,9.440986606908753,128.10220481767118,,
2250,287.5,9.375,2,328.3578925754512,2.9000000000000017,10,20,25,,10,24,20,,,,10.603694914475865,102.13855416383764,19.252105488168667,126.70313354718444,,
2260,288.33333333333337,9.416666666666666,2,319.75717971771263,2.8000000000000016,10,18,25,,6,12,20,,,,13.036244756067957,114.81004783577744,10.312064762918562,123.47614677402335,,
2270,289.16666666666663,9.458333333333334,2,432.6237379148464,3.100000000000002,8,16,20,,8,18,15,,,,6.57457707830596,84.47255442498945,13.185526959794062,112.20737885542655,,
2280,290.0,9.5,2,320.99925024911283,3.300000000000002,10,16,20,,8,18,15,,,,12.842218451704321,117.16477608885373,14.042355994853189,116.69626167243094,,
2290,290.83333333333337,9.541666666666666,2,316.9129130580371,3.400000000000002,10,16,25,,6,14,20,,,,14.67497552866503,126.66833968781624,10.528939748250844,117.63933976277723,,
