wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
1800,250.0,7.5,2,281.06997777777764,2.7000000000000015,10,18,20,,10,20,15,,,,11.227082515273135,105.11861576347802,16.26689479613543,125.27879750664168,,
1810,250.83333333333334,7.541666666666667,2,256.2000544936235,3.100000000000002,10,16,25,,8,16,15,,,,14.484086086140055,126.83932743309627,14.94648036579134,128.4296751230492,,
1820,251.66666666666666,7.583333333333333,2,279.8128807947021,3.500000000000002,10,16,25,,8,20,20,,,,14.4296311530233,124.78035023659601,14.596892589382607,124.18405324982878,,
1830,252.5,7.625,2,303.0817456327809,3.6000000000000023,10,16,25,,8,24,25,,,,14.420929836669483,124.35876241075967,15.696763686275746,118.12091618737186,,
1840,253.33333333333334,7.666666666666667,2,278.2577739661656,3.500000000000002,8,12,25,,10,24,15,,,,10.931649368401153,126.74597913354825,16.647917124244064,121.02451573796274,,
1850,254.16666666666666,7.708333333333333,2,284.5029997312548,3.0000000000000018,10,16,25,,8,20,25,,,,14.533689296377302,127.57710236869069,16.34076332170107,127.61278456857302,,
1860,255.0,7.75,2,251.82549653979228,3.100000000000002,8,12,25,,8,16,15,,,,11.004449737355944,129.0117538612339,14.959337060334875,128.32280234916558,,
1870,255.83333333333334,7.791666666666667,2,303.42823927680905,3.200000000000002,10,16,20,,10,24,15,,,,12.680809554001712,116.53886407283639,15.250068236072684,114.22770102959959,,
1880,256.66666666666663,7.833333333333333,2,296.1470922583909,3.500000000000002,8,12,25,,10,28,20,,,,10.947226564890787,126.87471849426953,19.048627593551007,121.45693682328789,,
