wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
1600,233.33333333333334,6.666666666666667,2,271.23047448979605,2.8000000000000016,8,14,25,,8,16,15,,,,9.26093225478908,110.08509740151965,13.448448438506427,120.86321277072517,,
1610,234.16666666666666,6.708333333333333,2,299.49110083036794,2.4000000000000012,10,20,20,,6,10,15,,,,8.703367107465548,95.22063284003933,8.630611119686092,122.77681083615933,,
1620,235.0,6.75,2,271.56178424626506,3.300000000000002,10,16,25,,8,22,25,,,,14.347167335379856,125.0792864333469,15.941982795759548,122.98817335533731,,
1630,235.83333333333334,6.791666666666667,2,269.68826540208374,2.4000000000000012,10,18,20,,8,14,15,,,,11.222539339512508,106.67512488381182,13.425309184161854,127.2562963660396,,
1640,236.66666666666666,6.833333333333333,2,246.0023248239438,3.300000000000002,8,12,25,,10,22,15,,,,10.882354152776996,127.1000607027057,17.530138762426215,128.57497043981027,,
1650,237.5,6.875,2,260.6972908587256,3.300000000000002,8,12,25,,10,26,20,,,,10.886588811418182,127.13568447938773,19.58442208149514,127.0538891315533,,
1660,238.33333333333334,6.916666666666667,2,280.24430225797687,2.6000000000000014,10,18,20,,10,20,15,,,,11.188823225329488,105.34593003221933,15.62532674417177,122.6303705761683,,
1670,239.16666666666666,6.958333333333333,2,281.458808318357,3.8000000000000025,10,16,25,,10,28,20,,,,14.306013189087826,122.98612346060378,20.558261769853168,128.64986443183793,,
1680,240.0,7.0,2,280.0254724137929,2.9000000000000017,10,16,25,,8,20,25,,,,14.469217233197593,127.63859761842339,15.745955547422314,125.24720484501904,,
1690,240.83333333333334,7.041666666666667,2,257.9068650519032,3.0000000000000018,10,16,20,,8,16,15,,,,12.63568220320401,117.07408085153241,14.433845356481436,126.05010025521337,,
