wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
2000,266.66666666666663,8.333333333333334,2,284.8787086368365,3.100000000000002,8,12,20,,8,16,15,,,,8.93701243760554,114.83742686931853,14.994683234505757,128.0699811833888,,
2010,267.5,8.375,2,266.85566669578117,3.0000000000000018,10,16,25,,6,12,20,,,,14.615993974108402,128.08755001817053,10.981406930936052,129.21172481167602,,
2020,268.33333333333337,8.416666666666666,2,300.7781695900178,2.8000000000000016,10,18,25,,8,16,15,,,,12.930819858729558,114.16400636274021,13.544596610170258,120.1199181094879,,
2030,269.16666666666663,8.458333333333334,2,308.5922316077753,3.400000000000002,10,16,25,,10,28,20,,,,14.551338498827414,125.9194652879622,18.570687694827928,119.00703074760418,,
2040,270.0,8.5,2,310.81913580246896,2.5000000000000013,10,20,25,,8,16,20,,,,10.577883201490677,103.99690709453989,15.386144905462459,127.7564589511981,,
2050,270.83333333333337,8.541666666666666,2,286.7070898442214,3.500000000000002,8,12,25,,8,20,20,,,,11.011104060179433,127.39974998147835,14.658471766229262,123.74305528233639,,
2060,271.66666666666663,8.583333333333334,2,297.5971739901554,3.6000000000000023,10,16,20,,8,22,25,,,,12.70881625694754,115.227633852296,17.53117504531255,129.0858037275627,,
