wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
2100,275.0,8.75,2,317.079797222222,3.6000000000000023,10,16,25,,8,22,20,,,,14.557300444150982,125.18806129605693,13.433052573414077,113.66745131764081,,
2110,275.83333333333337,8.791666666666666,2,311.58808857271185,3.7000000000000024,8,12,25,,8,18,15,,,,11.000336307742723,126.63993966638387,15.703194243900361,125.8150048715353,,
2120,276.66666666666663,8.833333333333334,2,295.8809435327545,2.9000000000000017,10,18,25,,6,12,20,,,,12.961484367370073,113.83651637857709,10.645064056540964,126.33593020638533,,
2130,277.5,8.875,2,320.0036334404677,3.7000000000000024,10,16,25,,8,22,20,,,,14.557604193695727,124.84114306516838,13.812520066588869,115.64671731687565,,
2140,278.33333333333337,8.916666666666666,2,294.1874173867831,3.300000000000002,8,12,20,,10,22,15,,,,8.952818586288661,114.15834606635889,17.670122537356903,127.56060542494997,,
2150,279.16666666666663,8.958333333333334,2,278.73349392718313,3.100000000000002,10,16,25,,8,18,20,,,,14.655915888871897,127.89953871421407,16.785242045628657,128.2578147820558,,
2160,280.0,9.0,2,311.41063589801547,3.8000000000000025,10,16,25,,10,30,20,,,,14.557775083264676,124.51446315033071,19.082373309860365,118.6139673437869,,
2170,280.83333333333337,9.041666666666666,2,310.8919280712168,3.6000000000000023,10,16,20,,8,20,20,,,,12.755063571618507,115.5218038614689,15.10717443766172,125.82353222780738,,
2180,281.66666666666663,9.083333333333334,2,314.1837692307694,3.0000000000000018,10,18,20,,8,16,15,,,,11.330482048989245,104.42757419742426,14.552991251292074,125.22310833777178,,
