wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
3600,400.0,15.0,2,421.0975562955253,3.100000000000002,10,18,25,,8,18,15,,,,13.475643664829516,115.94282213468058,13.45730586669316,112.0686127514587,,
3610,400.8333333333333,15.041666666666666,2,354.66788572360036,3.500000000000002,10,16,25,,10,24,15,,,,15.176555467676046,129.2108659519922,17.16406355038832,120.0447921742544,,
3620,401.6666666666667,15.083333333333334,2,378.9454402300234,3.0000000000000018,10,18,20,,8,16,15,,,,11.787331431529754,107.27642642312665,14.857306240018413,124.97762612618257,,
3630,402.5,15.125,2,368.3645671583853,3.9000000000000026,8,12,20,,10,24,15,,,,9.231327673542483,114.66662628523241,19.088873146011746,128.3966672525656,,
3640,403.3333333333333,15.166666666666666,2,374.2925712724539,3.0000000000000018,10,20,25,,6,12,20,,,,11.009368026592176,104.33065969467967,11.289543226519836,128.66610930534068,,
3650,404.1666666666667,15.208333333333334,2,373.8113057016619,3.500000000000002,10,18,25,,8,20,20,,,,13.432444406805752,114.14325210492677,15.0387595294055,123.12783979319883,,
3660,405.0,15.25,2,362.71751218610876,2.8000000000000016,10,18,25,,10,20,15,,,,13.538609509104495,117.79933272810227,17.41405872200532,127.70770199420545,,
3670,405.8333333333333,15.291666666666666,2,391.73603011249344,3.300000000000002,8,14,20,,10,22,15,,,,7.871418937557938,99.22637974617828,18.124670815966095,127.17044140412158,,
3680,406.6666666666667,15.333333333333334,2,383.6280680500404,3.9000000000000026,10,16,25,,10,30,20,,,,15.141348343024621,127.60175901750128,20.089887601470995,120.0812214644959,,
