wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
1400,216.66666666666669,5.833333333333333,2,232.08300000000008,3.200000000000002,8,12,25,,10,22,15,,,,10.791137461193657,126.74795040026866,16.931856682702374,126.91647006555282,,
1410,217.5,5.875,2,245.75542322330148,2.9000000000000017,10,16,20,,8,18,20,,,,12.513470164789556,116.69473912743683,15.487248003038463,124.53256943722384,,
1420,218.33333333333331,5.916666666666667,2,251.66502014244173,2.9000000000000017,10,16,25,,10,26,25,,,,14.31427508498387,126.65273999372221,20.565714601621604,128.12345453461052,,
1430,219.16666666666669,5.958333333333333,2,248.25659842988148,3.400000000000002,10,16,25,,8,22,25,,,,14.219647595316538,123.86264782614244,16.365828042760523,126.06380792814623,,
1440,220.0,6.0,2,254.62027320075777,2.5000000000000013,8,14,25,,6,10,15,,,,9.245351662042474,111.58900069027213,8.979578782895397,126.47621513888855,,
1450,220.83333333333331,6.041666666666667,2,255.19509175863283,2.5000000000000013,8,14,25,,6,10,15,,,,9.249475276887216,111.62477501590753,8.980695785281442,126.44085156634596,,
1460,221.66666666666669,6.083333333333333,2,253.23421960213423,2.300000000000001,10,18,25,,8,14,15,,,,12.784960436595696,116.07364695389539,12.824967098043913,124.35076862177007,,
1470,222.5,6.125,2,257.60126600176727,3.500000000000002,10,16,25,,10,30,25,,,,14.230517572855891,123.54384146881029,20.7832228709062,124.17331391835529,,
1480,223.33333333333331,6.166666666666667,2,265.7255452043265,2.4000000000000012,10,16,20,,6,10,15,,,,12.670723595038398,120.62265270338972,8.617169113787554,123.12162440617547,,
1490,224.16666666666669,6.208333333333333,2,271.5120027217208,3.500000000000002,8,12,25,,6,16,25,,,,10.784745642097343,125.51750345699442,11.792722926794463,120.5287276631726,,
