wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
2300,291.66666666666663,9.583333333333334,2,307.0823010363353,3.100000000000002,8,12,20,,8,16,15,,,,9.02345033307298,115.61905817231877,15.067549221626825,127.70621608842228,,
2310,292.5,9.625,2,304.77060361399447,3.400000000000002,8,12,25,,10,26,20,,,,11.11880775103868,128.6521498163447,20.44726307095385,128.39619465518544,,
2320,293.33333333333337,9.666666666666666,2,337.6641363636366,3.6000000000000023,8,12,20,,8,18,15,,,,8.965057824217908,113.23064495675649,15.330614325582586,123.31151750953693,,
2330,294.16666666666663,9.708333333333334,2,336.4693937677056,3.0000000000000018,10,20,25,,10,22,15,,,,10.618955678202985,101.82158463978398,16.14722195244695,120.03073341945799,,
2340,295.0,9.75,2,325.1403172881358,3.9000000000000026,10,16,25,,10,24,15,,,,14.626596213942452,124.61591517484217,18.70929293695634,128.93625805325019,,
2350,295.83333333333337,9.791666666666666,2,306.9907055034663,3.300000000000002,10,16,25,,10,26,20,,,,14.716490330946412,127.34512762847959,19.870800294418974,125.99455506922588,,
2360,296.66666666666663,9.833333333333334,2,334.46450792358866,3.100000000000002,8,14,25,,6,14,25,,,,9.467086854458453,110.49264219692922,12.298144206021423,127.06257920828634,,
2370,297.5,9.875,2,312.0666786620528,3.6000000000000023,10,16,25,,10,28,20,,,,14.682611188348032,125.94032217522764,19.777294453985068,123.02672934762779,,
2380,298.33333333333337,9.916666666666666,2,323.067303934802,3.200000000000002,8,12,20,,10,22,15,,,,9.03236483564066,115.2690287079167,17.22154728919898,124.89656829164903,,
2390,299.16666666666663,9.958333333333334,2,300.7865986527042,3.500000000000002,10,16,25,,8,20,20,,,,14.705779884018776,126.45354816956727,14.744621778532085,123.34840557294532,,
