wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
3000,350.0,12.5,2,335.08070867346925,3.200000000000002,10,16,20,,10,22,15,,,,13.120262747583366,119.33367070952607,17.406432053869768,124.70749474822043,,
3010,350.83333333333337,12.541666666666666,2,366.84174261351984,2.9000000000000017,10,18,20,,6,12,20,,,,11.626169122886242,106.73430866789107,10.815186585488998,125.93689926745846,,
3020,351.66666666666663,12.583333333333334,2,328.90823831769274,3.9000000000000026,8,12,25,,10,28,20,,,,11.255060520650835,128.07503418304864,21.64096599301505,129.08599737648902,,
3030,352.5,12.625,2,326.6912448993677,3.7000000000000024,10,16,25,,10,24,15,,,,14.939363100145862,127.09750143215034,17.965317554906633,124.24837292074182,,
3040,353.33333333333337,12.666666666666666,2,331.78594199388084,3.7000000000000024,8,12,25,,8,18,15,,,,11.293835673656503,128.9806557658166,15.925350277321984,125.02254301246141,,
3050,354.16666666666663,12.708333333333334,2,383.2252205882355,4.200000000000003,8,12,25,,10,28,15,,,,11.216844485491052,126.99447835801068,16.680451417546518,114.14847220612057,,
3060,355.0,12.75,2,352.7829005281693,3.9000000000000026,8,12,25,,6,14,20,,,,11.266285084138305,128.16265795065706,12.205729196324496,127.91580823768864,,
3070,355.83333333333337,12.791666666666666,2,350.04432396108103,3.300000000000002,8,12,20,,10,22,15,,,,9.189621700284478,116.24824620938175,17.960429845685272,127.0862491210151,,
3080,356.6666666666667,12.833333333333334,2,357.2331947978314,3.100000000000002,8,14,25,,8,18,20,,,,9.661826751285405,112.0431491668598,17.03910042267769,127.90326947064419,,
