wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
3400,383.3333333333333,14.166666666666666,2,347.2237675803401,3.200000000000002,10,18,25,,10,22,15,,,,13.39753805547591,115.06421872081826,17.515807945072282,124.74756798758361,,
3410,384.1666666666667,14.208333333333334,2,384.70098182283573,3.400000000000002,10,18,25,,10,28,25,,,,13.371577671299372,114.14432596150645,22.85072283250495,129.21868560705656,,
3420,385.0,14.25,2,382.26091599404924,3.400000000000002,10,18,20,,10,26,20,,,,11.674063041213683,105.07888453091958,20.839875431598067,128.19281935888736,,
3430,385.8333333333333,14.291666666666666,2,345.115542638865,3.100000000000002,10,16,20,,8,16,15,,,,13.275660520496986,120.73619038044916,15.315207940417348,127.44468361612066,,
3440,386.6666666666667,14.333333333333334,2,354.3608174913244,4.200000000000003,8,12,25,,8,24,25,,,,11.32134918511705,127.80134612679988,18.795306805270407,129.08051314066424,,
3450,387.5,14.375,2,371.7481551524927,2.9000000000000017,10,18,25,,8,16,15,,,,13.457674177879202,116.79416474099932,14.32828980138794,122.40055171718488,,
3460,388.3333333333333,14.416666666666666,2,391.4572551820398,3.6000000000000023,10,16,20,,10,28,20,,,,13.209217576400427,118.33632710429397,20.14712844379909,122.81490216950401,,
3470,389.1666666666667,14.458333333333334,2,345.94900922794596,3.8000000000000025,10,16,25,,10,28,20,,,,15.08448642291053,127.59698418175773,21.24787804841174,126.99052947156044,,
3480,390.0,14.5,2,374.15195439359144,4.200000000000003,8,12,25,,10,32,25,,,,11.331621118354583,127.88015421291925,24.034914725067175,128.16475525899955,,
