wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
3200,366.6666666666667,13.333333333333334,2,360.4124531374348,2.7000000000000015,10,18,25,,10,20,15,,,,13.416255148209839,117.58917899632876,16.68577425274935,124.81476607737967,,
3210,367.5,13.375,2,332.2717296892754,3.6000000000000023,10,16,25,,8,20,20,,,,15.020991105716327,127.92935626655743,15.358621318192215,125.24925578890245,,
3220,368.3333333333333,13.416666666666666,2,332.4945899789716,3.100000000000002,10,18,25,,8,16,15,,,,13.352935124283324,115.23233970786215,15.27186429328563,127.41711405410703,,
3230,369.1666666666667,13.458333333333334,2,399.6961805869076,4.800000000000003,8,12,25,,10,32,20,,,,11.216917213476577,125.48875558689872,22.73501393278439,128.1011805424963,,
3240,370.0,13.5,2,390.0034324324326,3.200000000000002,10,20,20,,10,22,15,,,,9.068380833927149,94.46919449135855,17.47286727052602,124.72109012224755,,
3250,370.8333333333333,13.541666666666666,2,355.8149533839459,3.7000000000000024,10,16,25,,6,14,20,,,,15.021001749765402,127.57031685769111,11.627427565262154,123.64032402486177,,
3260,371.6666666666667,13.583333333333334,2,390.61624698436935,2.8000000000000016,10,20,25,,8,16,15,,,,10.933667415309031,104.74242536763099,13.797465152427332,119.79839564151133,,
3270,372.5,13.625,2,396.5494675615215,3.500000000000002,10,18,25,,6,14,20,,,,13.311427881599117,113.45191525070354,11.014939783194865,119.38378088356646,,
3280,373.3333333333333,13.666666666666666,2,355.3939457908161,4.000000000000003,10,16,25,,10,30,20,,,,14.988272321210047,126.42882418431795,20.469175817879012,121.95867278998172,,
