wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
1700,241.66666666666666,7.083333333333333,2,276.2344742473714,3.100000000000002,10,16,25,,10,26,20,,,,14.423982392283335,126.46403530727733,18.435828520727938,121.97911900619357,,
1710,242.5,7.125,2,271.5168553122172,2.8000000000000016,8,12,20,,10,20,15,,,,8.882912754197992,115.8165644748923,16.82715699041137,128.3128601658709,,
1720,243.33333333333334,7.166666666666667,2,286.01653881278554,3.6000000000000023,8,12,25,,6,16,25,,,,10.86749399233136,125.87027907802894,12.187677914523887,121.9960377669589,,
1730,244.16666666666666,7.208333333333333,2,288.1613720592235,2.300000000000001,10,16,20,,8,14,15,,,,12.823580878949272,122.41814523667355,12.885360721626373,123.80723751950502,,
1740,245.0,7.25,2,277.31930075187984,3.8000000000000025,8,12,25,,10,28,20,,,,10.843680428734503,125.05624939299335,20.59062473189882,128.43487157282559,,
1750,245.83333333333334,7.291666666666667,2,245.7248720954075,3.100000000000002,8,12,25,,8,16,15,,,,10.960492423743515,128.64320480566576,14.930878651310126,128.57120220576502,,
1760,246.66666666666666,7.333333333333333,2,272.58383672580516,3.100000000000002,8,12,25,,6,14,25,,,,10.96456240157212,128.67742503505744,12.153084617648686,127.8867222995124,,
1770,247.5,7.375,2,249.49074747474754,3.0000000000000018,10,16,25,,8,16,15,,,,14.490775138495023,127.3092349953993,14.454055626913677,125.85880476849039,,
1780,248.33333333333334,7.416666666666667,2,285.76974671005945,3.400000000000002,10,16,25,,10,28,20,,,,14.422232971132415,125.12753246029128,18.47250252849732,119.42165348664966,,
