wp,wf,P,stages,volume,n1,Pd1,Np1,Helix1,n2,Pd2,Np2,Helix2,Pd3,Np3,Helix3,s1_bending,s1_contact,s2_bending,s2_contact,s3_bending,s3_contact
1900,258.33333333333337,7.916666666666667,2,271.9217264745467,3.100000000000002,8,12,25,,10,22,15,,,,11.020009686555774,129.141669094338,16.536793811227394,122.96033179103483,,
1910,259.16666666666663,7.958333333333333,2,288.03243179024037,3.400000000000002,8,12,25,,8,18,15,,,,10.974969612407914,127.47506497445475,14.382130058489976,119.45897470495514,,
1920,260.0,8.0,2,296.4253846153845,2.4000000000000012,8,14,25,,8,14,15,,,,9.441690243179666,113.9256093918756,13.491599546773028,126.81446051929058,,
1930,260.83333333333337,8.041666666666666,2,275.70750849840266,3.300000000000002,10,16,20,,10,22,15,,,,12.693952029434545,116.21306178796681,17.603858982715497,127.87985753698655,,
1940,261.66666666666663,8.083333333333334,2,283.6005505004551,3.500000000000002,10,16,25,,8,20,20,,,,14.492043172685817,125.16254713781797,14.629390540371599,123.93204746691865,,
1950,262.5,8.125,2,286.059609591014,3.100000000000002,8,14,25,,8,18,20,,,,9.338157855719635,109.44280427147672,16.725522726339516,128.5212537673186,,
1960,263.33333333333337,8.166666666666666,2,302.7274429293476,3.100000000000002,8,12,20,,10,22,15,,,,8.924857921345785,114.72662422579053,16.557195376202905,122.86759794056886,,
1970,264.16666666666663,8.208333333333334,2,287.400188753277,2.9000000000000017,10,16,20,,8,16,15,,,,12.79023513510854,118.53582994758868,14.018666463256789,122.84142704882021,,
1980,265.0,8.25,2,266.2618286168028,3.100000000000002,10,16,25,,8,18,20,,,,14.572423651407819,127.38667072928398,16.73463083023826,128.47485727757862,,
1990,265.83333333333337,8.291666666666666,2,276.70484952440296,2.9000000000000017,10,16,25,,6,12,20,,,,14.634542554628615,128.67259179380164,10.617430923360361,126.504208934297,,
