wp  , wf   , P   , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
2200, 283.3,  9.2, 2.1,  10,  16,    25,  38,   10,     25, 13.39001810208111 ,        93.37102683786236,   129.14821566585906,          0.0725912425896291, 34.24667892037362 ,       7.297035600659198 ,   127.16324330437256,          1.6214619239746018, 102.3621156050858
2300, 291.7,  9.6, 5.0,  10,  14,    25,  42,   10,     25, 14.256601174557805,        88.39557118460672,   129.16726398009345,          0.0578431428931244, 31.11594387168883 ,      16.847182251919566 ,   129.21067227316564,          0.024242524992148 , 105.32483910441157
2400, 300.0, 10.0, 5.2,  10,  14,    25,  42,   10,     25, 13.68097844822393 ,        91.68145487652532,   126.22599272968772,          2.361162537886716 , 31.114336232929915,      16.85231232036338  ,   129.12848926781595,          0.0878666387215599, 110.98279637349695
2500, 308.3, 10.4, 4.0,  10,  14,    25,  40,   10,     25, 13.306709260686183,        93.8584018718878 ,   127.4966124897118 ,          1.359661091381901 , 32.69494128934647 ,      11.92304400988293  ,   128.8914808919252 ,          0.2715797322095902, 107.41268670536222
2600, 316.7, 10.8, 1.5,  10,  16,    25,  36,   10,     25, 11.675973997307484,       103.73560840261172,   128.60384074969963,          0.4949928596442602, 36.210987876231314,       1.7229323180035103,   128.78073080124372,          0.3575415214960948, 106.3110751017556
2700, 325.0, 11.2, 2.9,  10,  14,    25,  38,   10,     25, 12.579955651808357,        98.17976061928334,   128.66522600828523,          0.447272455790929 , 34.31739826066158 ,       7.091015592147587 ,   128.81840910446033,          0.3282881686575918, 106.04633683587944
2800, 333.3, 11.7, 2.6,  10,  14,    25,  38,   10,     25, 12.226784584754595,       100.32597462655424,   128.79886285688465,          0.3434627664852749, 34.240241741882386,       7.31580878367334  ,   126.80129845535068,          1.9064756307808064, 109.89172180749364
2900, 341.7, 12.1, 2.4,  10,  14,    25,  38,   10,     25, 11.87749456591247 ,       102.47920972824105,   128.52398146285822,          0.5571088419557284, 34.21140475238451 ,       7.399949816199906 ,   125.38619190676889,          3.0285790935851344, 113.4648474799818
3000, 350.0, 12.5, 2.2,  10,  14,    25,  38,   10,     25, 11.551303671376916,       104.51811640861672,   128.5834596931254 ,          0.510841953047156 , 34.17738723438427 ,       7.499294525959839 ,   124.0538517643507 ,          4.096512595457738 , 116.62476548308146
3100, 358.3, 12.9, 2.0,  10,  14,    25,  38,   10,     25, 11.267167271380112,       106.316687113702  ,   129.03905614228492,          0.1571496266480108, 34.13665540364888 ,       7.618372980287419 ,   122.7970612588055 ,          5.114238014540554 , 119.20644773517796
3200, 366.7, 13.3, 1.9,  10,  14,    25,  36,   10,     25, 10.975542188239263,       108.18488863978396,   128.53371991674985,          0.549532037756611 , 36.221761202494505,       1.6931873733788811,   129.03779417915527,          0.1581276007236347, 110.58573565164306
3300, 375.0, 13.8, 1.8,  10,  14,    25,  36,   10,     25, 10.70142650500686 ,       109.96181845537448,   128.20587803901748,          0.8049178489056983, 36.18907625201218 ,       1.7834569632377977,   128.29889346488483,          0.732393619069085 , 113.28258688658704
3400, 383.3, 14.2, 1.7,  10,  14,    25,  36,   10,     25, 10.44329930805136 ,       111.65393954031671,   128.06772567096505,          0.9127321759586716, 36.152615747560354,       1.8842493011731205,   127.60036106575411,          1.278324126467285 , 115.7292451439158
3500, 391.7, 14.6, 1.6,  10,  14,    25,  36,   10,     25, 10.199811856391705,       113.26711222515276,   128.13599945677797,          0.859436739392138 , 36.11168539777278 ,       1.9975182258698676,   126.9389547127056 ,          1.7979832184458429, 117.9220504088606
1210, 200.8,  5.0, 2.6,  10,  20,    25,  42,   10,     25, 16.58725877974688 ,        75.81496022959061,   128.5352981673512 ,          0.5483041661721563, 31.11031786271715 ,      16.865136234255644 ,   128.92522949142923,          0.2453994716484894,  93.4738001016669
1220, 201.7,  5.1, 2.6,  10,  20,    25,  42,   10,     25, 16.4601672205189  ,        76.47262338306643,   128.05679278269608,          0.9212691629726292, 31.10630053030341 ,      16.87795835242496  ,   128.7250517492091 ,          0.4007862611024229,  94.67263715956646
1230, 202.5,  5.1, 2.6,  10,  20,    25,  42,   10,     25, 16.33509488025469 ,        77.12290681026758,   127.58403063682876,          1.2911225229468362, 31.10228423528673 ,      16.890778675248463 ,   128.5278859225813 ,          0.5540709884421197,  95.858878996905
1240, 203.3,  5.2, 2.4,  10,  20,    25,  42,   10,     25, 16.271390224326083,        77.45530104124984,   128.795796467019  ,          0.3458435462481043, 31.056838602991267,      17.035950309558224 ,   126.4842520449888 ,          2.1567969130725184,  96.99389181012867
1250, 204.2,  5.2, 5.7,  10,  18,    25,  50,   10,     25, 19.313721344848847,        62.42323607607102,   128.7817516060562 ,          0.3567488582574331, 26.21812004980363 ,      33.68996540606935  ,   128.75636055860514,          0.3764670754832472,  96.84641741588104
1260, 205.0,  5.2, 5.8,  10,  18,    25,  50,   10,     25, 19.16337775642521 ,        63.12771929178079,   128.12442510028356,          0.8684698474410283, 26.231365385831744,      33.64088945256048  ,   129.1072135087622 ,          0.1043444177028272,  97.74142300948512
1270, 205.8,  5.3, 1.4,  10,  22,    25,  38,   10,     25, 14.57050093308409 ,        86.63470968251248,   128.38905349077646,          0.6621457294580873, 34.342013582554706,       7.019402128726454 ,   129.20765600916474,          0.026576929035677 ,  94.3428344697327
1280, 206.7,  5.3, 5.0,  10,  18,    25,  48,   10,     25, 18.93730890751339 ,        64.1941863164917 ,   128.9470459968507 ,          0.2284790991116514, 27.266878676722573,      29.866924487673803 ,   128.66391205389334,          0.448293675397289 ,  94.73788357867444
1290, 207.5,  5.4, 5.1,  10,  18,    25,  48,   10,     25, 18.793211532907133,        64.87848050511082,   128.24802495974788,          0.7720493564032184, 27.286421898315787,      29.79687038059912  ,   129.079227576519  ,          0.1260232656898254,  95.57342350780296
1310, 209.2,  5.5, 2.1,  10,  20,    25,  40,   10,     25, 15.57226270452622 ,        81.15625795812164,   128.6314689757899 ,          0.4735120884168374, 32.69618066127393 ,      11.919266834664535 ,   128.92957579119752,          0.2420283548605283,  93.79106523606356
