wp  , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
2700, 2.9,  10,  14,    25,  38,   10,     25, 12.579955651808355,        98.17976061928334,   128.66522600828523,        0.447272455790929   , 34.31739826066158 ,       7.091015592147587 ,   128.81840910446033,        0.3282881686575918  , 106.04633683587944
2800, 2.6,  10,  14,    25,  38,   10,     25, 12.226784584754597,       100.32597462655424,   128.79886285688463,        0.3434627664852749  , 34.240241741882386,       7.31580878367334  ,   126.80129845535068,        1.9064756307808062  , 109.89172180749365
2900, 2.4,  10,  14,    25,  38,   10,     25, 11.87749456591247 ,       102.47920972824103,   128.52398146285822,        0.5571088419557284  , 34.21140475238451 ,       7.399949816199906 ,   125.38619190676887,        3.0285790935851344  , 113.4648474799818
3000, 2.2,  10,  14,    25,  38,   10,     25, 11.551303671376917,       104.51811640861672,   128.5834596931254 ,        0.510841953047156   , 34.17738723438427 ,       7.499294525959839 ,   124.0538517643507 ,        4.096512595457738   , 116.62476548308146
3100, 2  ,  10,  14,    25,  38,   10,     25, 11.267167271380112,       106.31668711370199,   129.03905614228492,        0.1571496266480108  , 34.13665540364888 ,       7.618372980287419 ,   122.7970612588055 ,        5.114238014540554   , 119.20644773517796
3200, 1.9,  10,  14,    25,  36,   10,     25, 10.975542188239263,       108.18488863978395,   128.53371991674985,        0.549532037756611   , 36.221761202494505,       1.6931873733788811,   129.03779417915527,        0.15812760072363477 , 110.58573565164306
3300, 1.8,  10,  14,    25,  36,   10,     25, 10.701426505006859,       109.96181845537447,   128.20587803901748,        0.8049178489056983  , 36.18907625201218 ,       1.7834569632377975,   128.29889346488483,        0.732393619069085   , 113.28258688658705
3400, 1.7,  10,  14,    25,  36,   10,     25, 10.44329930805136 ,       111.65393954031673,   128.06772567096505,        0.9127321759586715  , 36.152615747560354,       1.8842493011731205,   127.60036106575411,        1.278324126467285   , 115.72924514391579
3500, 1.6,  10,  14,    25,  36,   10,     25, 10.199811856391703,       113.26711222515277,   128.13599945677797,        0.859436739392138   , 36.11168539777278 ,       1.9975182258698674,   126.9389547127056 ,        1.7979832184458429  , 117.92205040886061
1210, 2.6,  10,  20,    25,  42,   10,     25, 16.58725877974688 ,        75.81496022959061,   128.5352981673512 ,        0.5483041661721563  , 31.11031786271715 ,      16.865136234255644 ,   128.92522949142923,        0.24539947164848946 ,  93.4738001016669
1220, 2.6,  10,  20,    25,  42,   10,     25, 16.4601672205189  ,        76.47262338306643,   128.05679278269608,        0.9212691629726292  , 31.106300530303415,      16.87795835242496  ,   128.7250517492091 ,        0.40078626110242294 ,  94.67263715956646
1230, 2.6,  10,  20,    25,  42,   10,     25, 16.33509488025469 ,        77.12290681026758,   127.58403063682877,        1.2911225229468362  , 31.10228423528673 ,      16.890778675248463 ,   128.5278859225813 ,        0.5540709884421197  ,  95.858878996905
1240, 2.4,  10,  20,    25,  42,   10,     25, 16.271390224326083,        77.45530104124984,   128.795796467019  ,        0.34584354624810437 , 31.056838602991267,      17.035950309558224 ,   126.4842520449888 ,        2.1567969130725184  ,  96.99389181012869
1250, 5.7,  10,  18,    25,  50,   10,     25, 19.313721344848847,        62.42323607607102,   128.7817516060562 ,        0.3567488582574331  , 26.21812004980363 ,      33.68996540606935  ,   128.75636055860514,        0.37646707548324726 ,  96.84641741588105
1260, 5.8,  10,  18,    25,  50,   10,     25, 19.16337775642521 ,        63.12771929178079,   128.12442510028356,        0.8684698474410283  , 26.231365385831744,      33.64088945256048  ,   129.10721350876221,        0.1043444177028272  ,  97.74142300948513
1270, 1.4,  10,  22,    25,  38,   10,     25, 14.57050093308409 ,        86.63470968251248,   128.38905349077646,        0.6621457294580873  , 34.342013582554706,       7.019402128726454 ,   129.20765600916474,        0.026576929035677092,  94.3428344697327
1280, 5  ,  10,  18,    25,  48,   10,     25, 18.93730890751339 ,        64.1941863164917 ,   128.9470459968507 ,        0.2284790991116514  , 27.266878676722573,      29.866924487673803 ,   128.66391205389334,        0.448293675397289   ,  94.73788357867444
1290, 5.1,  10,  18,    25,  48,   10,     25, 18.793211532907133,        64.87848050511082,   128.24802495974788,        0.7720493564032184  , 27.286421898315787,      29.796870380599117 ,   129.079227576519  ,        0.1260232656898254  ,  95.57342350780297
1310, 2.1,  10,  20,    25,  40,   10,     25, 15.57226270452622 ,        81.15625795812164,   128.6314689757899 ,        0.47351208841683745 , 32.69618066127393 ,      11.919266834664537 ,   128.92957579119752,        0.24202835486052837 ,  93.79106523606355
1320, 4.4,  10,  18,    25,  46,   10,     25, 18.43981841172534 ,        66.57178789389776,   128.8340383838078 ,        0.31615613657666736 , 28.47388251635723 ,      25.618991653298252 ,   129.0945188881773 ,        0.11417751733855598 ,  92.62111320111124
1330, 4.4,  10,  18,    25,  46,   10,     25, 18.31017405708065 ,        67.19842851664592,   128.39400686025738,        0.6582877526141501  , 28.46665410047498 ,      25.64396400004243  ,   128.85556335861844,        0.299450050091801   ,  93.8001303193943
1340, 4.4,  10,  18,    25,  46,   10,     25, 18.18242059614416 ,        67.81881812352017,   127.95882259766637,        0.9978019427572883  , 28.459429353690904,      25.668929195448147 ,   128.61982646938782,        0.4825635024236785  ,  94.96811276414928
1350, 4.5,  10,  18,    25,  46,   10,     25, 18.050024001153453,        68.46480264336459,   127.2228170265187 ,        1.5746276599589155  , 28.473882516357232,      25.618991653298234 ,   129.0945188881773 ,        0.11417751733855598 ,  95.77259947396031
1360, 4.5,  10,  18,    25,  46,   10,     25, 17.92597373858565 ,        69.07289822819635,   126.79808257021   ,        1.909011593229613   , 28.466814692066876,      25.643409136708605 ,   128.8608382676938 ,        0.2953564826054886  ,  96.92067544074004
1370, 4.5,  10,  18,    25,  46,   10,     25, 17.803692897666725,        69.67502224071964,   126.37792397548002,        2.2408863753474138  , 28.459750375674922,      25.667819783020985 ,   128.63023623111718,        0.47447044150539597 ,  98.05819884059343
1380, 3.7,  10,  18,    25,  44,   10,     25, 17.794045276840002,        69.72264287839423,   128.81813668824526,        0.32849964135823584 , 29.7299190834546  ,      21.362047517469012 ,   128.52355036734428,        0.5574442602060946  ,  91.97063429742757
