wp  , wf    , P    , volume, n1 , Pd1, Np1, Helix1, Pd2, Np2, Helix2, s1_bending, s1_contact, s2_bending, s2_contact, s3_bending, s3_contact, _source_file
3050, 354.17, 12.71, 383.23, 4.2,   8,  12,     25,  10,  28,     15,      11.22,     126.99,      16.68,     114.15,           ,           , wp_3000-3100.csv
3060, 355.0 , 12.75, 352.78, 3.9,   8,  12,     25,   6,  14,     20,      11.27,     128.16,      12.21,     127.92,           ,           , wp_3000-3100.csv
3070, 355.83, 12.79, 350.04, 3.3,   8,  12,     20,  10,  22,     15,       9.19,     116.25,      17.96,     127.09,           ,           , wp_3000-3100.csv
3080, 356.67, 12.83, 357.23, 3.1,   8,  14,     25,   8,  18,     20,       9.66,     112.04,      17.04,     127.9 ,           ,           , wp_3000-3100.csv
3100, 358.33, 12.92, 338.88, 2.8,  10,  18,     25,  10,  20,     15,      13.36,     116.73,      17.27,     127.52,           ,           , wp_3100-3200.csv
3110, 359.17, 12.96, 360.27, 3.9,   8,  12,     20,  10,  24,     15,       9.12,     113.73,      18.94,     128.43,           ,           , wp_3100-3200.csv
3120, 360.0 , 13.0 , 366.69, 3.2,   8,  12,     20,  10,  22,     15,       9.21,     116.87,      17.44,     124.71,           ,           , wp_3100-3200.csv
3130, 360.83, 13.04, 312.9 , 3.3,  10,  16,     25,  10,  22,     15,      15.04,     129.24,      17.98,     127.09,           ,           , wp_3100-3200.csv
3140, 361.67, 13.08, 360.79, 3.9,   8,  12,     20,  10,  24,     15,       9.13,     113.79,      18.95,     128.42,           ,           , wp_3100-3200.csv
3150, 362.5 , 13.12, 343.11, 3.0,  10,  18,     25,   6,  12,     20,      13.34,     115.64,      11.21,     128.58,           ,           , wp_3100-3200.csv
3160, 363.33, 13.17, 360.91, 3.9,   8,  12,     25,   8,  22,     20,      11.29,     128.38,      14.8 ,     118.94,           ,           , wp_3100-3200.csv
3170, 364.17, 13.21, 339.63, 3.6,  10,  16,     25,   8,  18,     15,      15.01,     127.84,      15.52,     122.85,           ,           , wp_3100-3200.csv
3200, 366.67, 13.33, 360.41, 2.7,  10,  18,     25,  10,  20,     15,      13.42,     117.59,      16.69,     124.81,           ,           , wp_3200-3300.csv
3210, 367.5 , 13.38, 332.27, 3.6,  10,  16,     25,   8,  20,     20,      15.02,     127.93,      15.36,     125.25,           ,           , wp_3200-3300.csv
3220, 368.33, 13.42, 332.49, 3.1,  10,  18,     25,   8,  16,     15,      13.35,     115.23,      15.27,     127.42,           ,           , wp_3200-3300.csv
3230, 369.17, 13.46, 399.7 , 4.8,   8,  12,     25,  10,  32,     20,      11.22,     125.49,      22.74,     128.1 ,           ,           , wp_3200-3300.csv
3240, 370.0 , 13.5 , 390.0 , 3.2,  10,  20,     20,  10,  22,     15,       9.07,      94.47,      17.47,     124.72,           ,           , wp_3200-3300.csv
3250, 370.83, 13.54, 355.81, 3.7,  10,  16,     25,   6,  14,     20,      15.02,     127.57,      11.63,     123.64,           ,           , wp_3200-3300.csv
3260, 371.67, 13.58, 390.62, 2.8,  10,  20,     25,   8,  16,     15,      10.93,     104.74,      13.8 ,     119.8 ,           ,           , wp_3200-3300.csv
3270, 372.5 , 13.62, 396.55, 3.5,  10,  18,     25,   6,  14,     20,      13.31,     113.45,      11.01,     119.38,           ,           , wp_3200-3300.csv
3280, 373.33, 13.67, 355.39, 4.0,  10,  16,     25,  10,  30,     20,      14.99,     126.43,      20.47,     121.96,           ,           , wp_3200-3300.csv
3300, 375.0 , 13.75, 347.99, 2.8,  10,  18,     25,  10,  20,     15,      13.42,     117.13,      17.32,     127.57,           ,           , wp_3300-3400.csv
3310, 375.83, 13.79, 390.14, 4.0,   8,  12,     25,  10,  32,     25,      11.32,     128.29,      22.85,     124.29,           ,           , wp_3300-3400.csv
3400, 383.33, 14.17, 347.22, 3.2,  10,  18,     25,  10,  22,     15,      13.4 ,     115.06,      17.52,     124.75,           ,           , wp_3400-3500.csv
3410, 384.17, 14.21, 384.7 , 3.4,  10,  18,     25,  10,  28,     25,      13.37,     114.14,      22.85,     129.22,           ,           , wp_3400-3500.csv
3420, 385.0 , 14.25, 382.26, 3.4,  10,  18,     20,  10,  26,     20,      11.67,     105.08,      20.84,     128.19,           ,           , wp_3400-3500.csv
3430, 385.83, 14.29, 345.12, 3.1,  10,  16,     20,   8,  16,     15,      13.28,     120.74,      15.32,     127.44,           ,           , wp_3400-3500.csv
3440, 386.67, 14.33, 354.36, 4.2,   8,  12,     25,   8,  24,     25,      11.32,     127.8 ,      18.8 ,     129.08,           ,           , wp_3400-3500.csv
3450, 387.5 , 14.38, 371.75, 2.9,  10,  18,     25,   8,  16,     15,      13.46,     116.79,      14.33,     122.4 ,           ,           , wp_3400-3500.csv
3460, 388.33, 14.42, 391.46, 3.6,  10,  16,     20,  10,  28,     20,      13.21,     118.34,      20.15,     122.81,           ,           , wp_3400-3500.csv
3470, 389.17, 14.46, 345.95, 3.8,  10,  16,     25,  10,  28,     20,      15.08,     127.6 ,      21.25,     126.99,           ,           , wp_3400-3500.csv
3480, 390.0 , 14.5 , 374.15, 4.2,   8,  12,     25,  10,  32,     25,      11.33,     127.88,      24.03,     128.16,           ,           , wp_3400-3500.csv
3500, 391.67, 14.58, 362.89, 3.0,  10,  16,     20,   8,  16,     15,      13.32,     121.45,      14.83,     124.94,           ,           , wp_3500-3600.csv
3510, 392.5 , 14.62, 359.85, 3.9,   8,  12,     25,   6,  14,     20,      11.39,     129.09,      12.29,     127.82,           ,           , wp_3500-3600.csv
3520, 393.33, 14.67, 361.39, 3.8,  10,  16,     25,  10,  26,     15,      15.1 ,     127.7 ,      16.76,     115.93,           ,           , wp_3500-3600.csv
3530, 394.17, 14.71, 380.75, 3.7,  10,  16,     25,  10,  30,     25,      15.12,     128.14,      22.85,     126.67,           ,           , wp_3500-3600.csv
3540, 395.0 , 14.75, 367.09, 3.9,   8,  12,     20,  10,  24,     15,       9.21,     114.51,      19.06,     128.39,           ,           , wp_3500-3600.csv
3550, 395.83, 14.79, 365.7 , 3.9,  10,  16,     25,  10,  26,     15,      15.1 ,     127.35,      17.2 ,     117.83,           ,           , wp_3500-3600.csv
3560, 396.67, 14.83, 367.99, 3.1,  10,  18,     25,  10,  22,     15,      13.46,     115.87,      17.02,     122.41,           ,           , wp_3500-3600.csv
3570, 397.5 , 14.88, 353.89, 3.2,  10,  18,     25,  10,  22,     15,      13.45,     115.38,      17.56,     124.79,           ,           , wp_3500-3600.csv
3580, 398.33, 14.92, 379.66, 3.9,  10,  18,     25,  10,  28,     20,      13.35,     112.5 ,      21.83,     129.07,           ,           , wp_3500-3600.csv
3600, 400.0 , 15.0 , 421.1 , 3.1,  10,  18,     25,   8,  18,     15,      13.48,     115.94,      13.46,     112.07,           ,           , wp_3600-3700.csv
3610, 400.83, 15.04, 354.67, 3.5,  10,  16,     25,  10,  24,     15,      15.18,     129.21,      17.16,     120.04,           ,           , wp_3600-3700.csv
3620, 401.67, 15.08, 378.95, 3.0,  10,  18,     20,   8,  16,     15,      11.79,     107.28,      14.86,     124.98,           ,           , wp_3600-3700.csv
3630, 402.5 , 15.12, 368.36, 3.9,   8,  12,     20,  10,  24,     15,       9.23,     114.67,      19.09,     128.4 ,           ,           , wp_3600-3700.csv
3640, 403.33, 15.17, 374.29, 3.0,  10,  20,     25,   6,  12,     20,      11.01,     104.33,      11.29,     128.67,           ,           , wp_3600-3700.csv
3650, 404.17, 15.21, 373.81, 3.5,  10,  18,     25,   8,  20,     20,      13.43,     114.14,      15.04,     123.13,           ,           , wp_3600-3700.csv
3660, 405.0 , 15.25, 362.72, 2.8,  10,  18,     25,  10,  20,     15,      13.54,     117.8 ,      17.41,     127.71,           ,           , wp_3600-3700.csv
3670, 405.83, 15.29, 391.74, 3.3,   8,  14,     20,  10,  22,     15,       7.87,      99.23,      18.12,     127.17,           ,           , wp_3600-3700.csv
3680, 406.67, 15.33, 383.63, 3.9,  10,  16,     25,  10,  30,     20,      15.14,     127.6 ,      20.09,     120.08,           ,           , wp_3600-3700.csv
