wp  , wf   , P   , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
2250, 287.5,  9.4, 2.0,  10,  16,    25,  38,   10,     25, 13.14001733620845 ,        94.83846412724466,   129.05113160944376,         0.1477920758999029 , 34.2296859862038  ,       7.346600615069708 ,   126.2467334118699 ,        2.344734774117389   , 104.67759159233164
2260, 288.3,  9.4, 2.0,  10,  16,    25,  38,   10,     25, 13.08611184055204 ,        95.15680091455698,   128.79420340103863,         0.3470804430224835 , 34.2285885612334  ,       7.349802400571753 ,   126.19166202457592,        2.388360211607968   , 105.24204396975918
2270, 289.2,  9.5, 2.0,  10,  16,    25,  38,   10,     25, 13.032669095063104,        95.47308426557504,   128.5389427050963 ,         0.5454687903038592 , 34.227491206629004,       7.353004079651991 ,   126.13705695724614,        2.4316348253049225  , 105.8031919608358
2280, 290.0,  9.5, 2.0,  10,  16,    25,  38,   10,     25, 12.979683099696354,        95.7873343816894 ,   128.28533140197462,         0.7429647119917605 , 34.226393922383835,       7.356205652315744 ,   126.08291230028044,        2.4745628393709187  , 106.36106758536783
2290, 290.8,  9.5, 2.0,  10,  16,    25,  38,   10,     25, 12.92714795817207 ,        96.09957119732626,   128.0333516473596 ,         0.9395757074288584 , 34.22529670849112 ,       7.359407118568328 ,   126.02922224369694,        2.517148410278655   , 106.91570243360208
2310, 292.5,  9.6, 5.0,  10,  14,    25,  42,   10,     25, 14.19924587211484 ,        88.7196535197033 ,   128.91506334880395,         0.2532850714638797 , 31.113853973695285,      16.853851284857118 ,   129.10393299099135,        0.1068853745132897  , 105.93367525053758
2320, 293.3,  9.7, 5.0,  10,  14,    25,  42,   10,     25, 14.142372718453831,        89.04173151883566,   128.6644647626242 ,         0.447864102908284  , 31.111764356418288,      16.860519832141442 ,   128.9980442315188 ,        0.1889372108862197  , 106.53905266477162
2330, 294.2,  9.7, 5.0,  10,  14,    25,  42,   10,     25, 14.08597559347852 ,        89.36182409316159,   128.4154511854538 ,         0.6415873561919712 , 31.1096750198013  ,      16.867187893825527 ,   128.8929957879022 ,        0.2704044145835559  , 107.14100375776265
2340, 295.0,  9.8, 5.0,  10,  14,    25,  42,   10,     25, 14.03004848070196 ,        89.67994991404973,   128.16800583453144,         0.8344618632726609 , 31.107585963787766,      16.87385546996247  ,   128.78877761708435,        0.3512932736948297  , 107.7395605209797
2350, 295.8,  9.8, 5.1,  10,  14,    25,  42,   10,     25, 13.962821402893065,        90.06327944173975,   127.6704492805846 ,         1.2234134420625475 , 31.11512427038743 ,      16.849797616839833 ,   129.16871170274524,        0.0567223369122976  , 108.19321283755444
