wp  , n1 , Pnd, Np1, Helix, sigma_bend        , bending_percent_diff, abs_bending_percent_diff, sigma_contact     , contact_percent_diff, abs_contact_percent_diff, combined_metric
3600, 9  ,  10,  13,    25, 15.068960338984514,    83.8822958325412 ,        83.8822958325412 , 133.61504708725184,   3.3273196482347114,       3.3273196482347114, 87.20961548077591
3600, 8.9,  10,  13,    25, 15.072846634229355,    83.86104398232757,        83.86104398232757, 133.7070838586195 ,   3.396158520955544 ,       3.396158520955544 , 87.25720250328311
3400, 9  ,  10,  13,    25, 15.002149659717187,    84.24814214460847,        84.24814214460847, 133.21111346250558,   3.0246266924721565,       3.0246266924721565, 87.27276883708062
3600, 8.8,  10,  13,    25, 15.076734934547742,    83.83978435166712,        83.83978435166712, 133.8011580097826 ,   3.4664714674791512,       3.4664714674791512, 87.30625581914627
3400, 8.9,  10,  13,    25, 15.006018724441855,    84.22692994503709,        84.22692994503709, 133.30287199614867,   3.0934689108749738,       3.0934689108749738, 87.32039885591206
