wp  , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
2250, 3  ,  10,  15,    25,  39,   10,     25, 13.808215872410067,        90.9487029614476 ,   129.0386161966142 ,         0.15749056695060057, 33.50944907019236 ,        9.469403868048596,   128.84961063810866,          0.3040698308024694, 100.87966722724927
2250, 2  ,  10,  16,    25,  38,   10,     25, 13.14001733620845 ,        94.83846412724466,   129.05113160944376,         0.14779207589990298, 34.2296859862038  ,        7.346600615069708,   126.2467334118699 ,          2.344734774117389 , 104.67759159233165
2250, 2.1,  10,  16,    25,  38,   10,     25, 13.113882134114304,        94.9927187364865 ,   127.85010230473264,         1.0828008194647087 , 34.241448528512464,        7.31228909048313 ,   126.8677165329063 ,          1.8541143219676555, 105.241922968402
2250, 2.2,  10,  16,    25,  38,   10,     25, 13.08785069031804 ,        95.1465214764623 ,   126.75046079247386,         1.946572332492209  , 34.25214876607782 ,        7.281086188037252,   127.48628957388043,          1.3677576624171062, 105.74193765940886
2250, 1.5,  10,  17,    25,  37,   10,     25, 12.511883833309179,        98.5910420858454 ,   128.565224137598  ,         0.5250247464289709 , 35.17546978142616 ,        4.62351572058936 ,   126.52732493700499,          2.122752651173954 , 105.86233520403769
